processed_text,encoded_label
shit. shitty. shit. show. #presidentialdebate2020 #dumptrump #notmypresident #makeamericanotrussiaagain #shutupman,2
"@user you should do what feels right, you're the one who is going to have to live with your decision ultimately. personally i see no reason to vote biden though",0
"biden says he will focus on truth, here is the problem. http",0
"@user #maga white evangelicals are the biggest suckers in america. from tv preachers, #blacksfortrump steve bannon and the my pillow guy, grifters see working-class whites as marks, pigeons, and johns to be fleeced.",0
"the rats scotus plan is awful, a truly balanced supreme court would be 4 communists, 4 socialists, and 4 social democrats #demdebate",2
"@user thank you president trump! last night was amazing! you know what, nancy is livid, she just might have a stroke 🥱😉#nevadafortrump #trump2020",0
"@user @user enjoy! please #followback everyone who rt’s this short (1:36), upbeat video #voteblue #votebidenharris2020 - “kamala and joe” - (remember to click “thumbs up”.) thanks! http",1
america's ceos say trump failed on coronavirus -- and they're backing biden http,1
@user by this time in nazi germany ted here would be showing up to be fitted with a uniform. gop want one party rule. they will lie cheat steal burn our constitution to achieve that end. gop want to rule not govern. #votelikeyourlifedependsonit because it does. #votebluetosaveamerica,1
"@user one simple slogan, ""keep america great""! #trump2020",0
"kneeling for the flag is against our military. calling our fallen soldiers, pow, and soldiers losers and suckers is perfectly ok trump logic! #maga dont deserve this country. #maga2020 voters should be deported the day of bidens inauguration for their hatred of america.",1
@user @user this just feels like an excuse to publically wet willie joe biden.,2
is the rnc going to march out every trump voter? newsflash: lies don't sway people who read #noplatform #boring #votebluetosaveamerica http,1
"joe biden to meet with jacob blake, sr., who has long history of racist, anti-semitic, and anti-christian posts, in kenosha http",0
"@user @user @user is right. if there isn't more focus on policy, a reason to vote, @user may not win the progressive/indy voters. is this 2016 again? #thisweek #covid19 #sundaythoughts #voteblue http",2
biden and sanders both want to nominate a woman for vp. who do you guys think could it be? warren? klobuchar? harris? or somebody nobody is expecting. #demdebate,2
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user 🇺🇸 thank you for the mention, stephen! #trump2020!",0
"@user @user he's politicizing the death of a child, and misrepresenting what is 99.9% likely to be a valid certificate of death showing covid-19 as an ""other factor"" or illness also present at time of death. this is how we retain crucial medical data! #gop - stop making death political!",2
"@user @user @user he's a senate-confirmed presidential appointee and forbidden to even attend the convention. that's hardly the democrats keeping him from speaking. and if you want to talk double standards, the trump admin is full of them so stop whining. it's time for trump to go. #voteblue2020",1
neither biden or trump have managed to complete an entire thought or sentence since like 2010,2
campaign trump is the best trump. #trump2020 #trump2020landslide,0
"@user lol, biden needs a bump to keep him hummin'",0
how to safely return your absentee ballot without usps #vote #votebidenharris #voteblue2020 #voterfraud #votersuppression http,1
it's the final night of the #demconvention! make sure you watch joe biden with me! 9 pm et - http,1
@user #hypocrisy... in the #gop http,2
"loving the comments on my tweet, particularly the aggressive ones. clearly, western leftists are now experienced arabic linguists! so let’s agree on something: inshallah biden wins or inshallah trump wins? perhaps @user can respond? #debates2020",2
@user the #gop has been trying to do this for decades. the government has taken funds from it to pay for whatever. it is not their piggyback to use.,2
if after watching the debate you still are voting for trump... wow,1
"@user remember back when you said ‘listen to the experts’ ? no? yeah, figures now that it doesn’t fit the new democrat agenda i guess 🤷🏻‍♂️ #usps #fauci #vote2020 #trump2020 http",0
"""trump’s executive action may be too little, too late, especially if people...do not similarly fight back against this movement"" #fightbackamerica #trumpwarriors #kag wake up &amp; fight!! stop looking to govt to do it for you! http",0
y’all drop your @ and let’s help each other grow! i follow everyone back!! #maga #backtheblue,2
@user @user @user ........ &amp; don't let him cancel your dinner plans anymore either! open the economy! demand voter id! biden wins landslide! #nevertrump #biden2020landslide,1
"#nba ratings crash continues, lakers big win least-watched game of series http",2
@user he never had a lead in texas... except for the same lead as crooked hillary in your liberal fantasy polls! #trump2020,0
@user @user @user @user oh please @user will chew him up and spit him out and we all know it. 🇺🇸🇺🇸🇺🇸 #trump2020,0
@user @user is a racist - shame on you bigot! #trump2020,2
all i got to say is biden and trump both need lip injections,2
@user welcome to the family! wise choice! #trump2020 let us save our country from the self-destructive &amp; ever angry hateful empty democrats. http,0
"#gop donald trump knows his reelection chances are in trouble, so he's trying to confuse americans &amp; erode trust in our elections. he’s losing to joe biden, according to almost every poll. so he's trying to sow discord &amp; confusion about the election. http",1
@user yay #trump2020 again,0
hillary is every bit the white supremacist republican joe biden is. joe clearly not being as competent a candidate is re-enraging shitlibs vs the left.,0
"@user it's so weird, once in a while he sounds lucid. anyway....#biden2020",1
"@user and somehow, my bet is that the msm “journalists” out there, along with the dems, are quite gleeful about this. #trump2020",2
"@user well, i guess then we won't have to worry about his ""re-election"" wants/hopes &amp; desires after we re-elect him in november. it'll just be full steam ahead agenda to move this country forward... #trump2020 #pence2024 #trump2028 #trump2032 your world will be a nightmare...",0
@user @user then why don’t democrats come out and denounce all this violence? #seattleriots #democrats #blmterrorists #blm #antifadomesticterrorists #antifa #trump #trump2020 #maga #maga2020 #election2020 #lawandorder #usa,0
"@user maybe if you dems hadn’t wasted so much $ in the 1st bill like for the arts - what did that have 2do w a pandemic-employees were laid off wo a dime, maybe there’d b$ for the kids you are now so concerned about. @user 🇺🇸🇺🇸🇺🇸🇺🇸 #trump2020",0
@user followed you. please follow me back #resist #fbr #voteblue2020 #bidencalm,1
president trump and biden prepare for a debate that could turn personal http,1
"@user #rnc2020 is going to be lit @user ! we will hear about a 3 year record of accomplishment by the #potus @user as opposed to a canned speech that avoids the ""void"" of 47 years of nothing under #hidenbiden",0
"@user idgaf who he picks. i'm voting blue, no matter who. we must get this fucking maniac out of our white house. #votebluenomatterwho #ettd",1
"@user @user every time trump is in front of a microphone his mental ability should be called into question. he in incoherent, inept and incompetent. i feel much safer with biden as president than the unethical, corrupt fool we have now. #biden2020",1
#demdebate i’d rather stick pins in my eyes than watch,2
"so all the candidates support 'the process', meaning: a superdelegate override of bernie's plurality. pretty pathetic. #demdebate",2
@user can't wait to see you breakdown screaming when trump hands bidens ass to him #trump2020,0
"djia is at 93.9% of all time high, despite #democratstheenemywithin trying to tube the economy!! #trump2020 defeats impact of #covid_19 ! live with it! vote @user dum @user go with @user @user",0
"@user awful and shocking. trump ignored all rules, could not show any self restraint or decency. i expected him to be shameless and vicious (to the point i wasn’t sure i’d watch) and he was still much more cruel than i could imagine. we must vote this tyrant out",1
@user we are with you alllll the way! #trump2020,0
@user a former president who wasn’t impeached and who won the nobel (not “noble”) prize. jealous much? #obamawasbetterateverything #votebluetosaveamerica,1
"@user @user @user @user c’mon man, all the dem leaders have been in office for decades and accomplished very little. trump outperformed them all in 3.5 years. #maga",0
@user @user americans must vote out the following people from their respective offices: susan collins mitch mcconnell lindsey graham donald trump who else should be voted out office? #votebluetosaveamerica,1
"i mean, even this prayer is a bit crazy. #rncconvention2020 #rnc2020",2
"@user yes, @user. move, rather than actually protecting your home and solving a frigging problem. #coward #compliance #antifa #blm #maga #trump2020",0
@user oh please... how about releasing your taxes! #dumptrumperdinck #dumptrump2020 #dumptrump #releaseyourtaxestrump #trumpisaliar #trumptaxreturns #trumpcrimefamily #trumpisafake #trumpisaphony #trumpisfake #phonytrump,1
kamala. hillary. barack. today is going to be 🔥🔥🔥🙌🏽🙌🏽🙌🏽 #demconvention #dnc #democraticnationalconvention #bidenharris #bidenharris2020 #joebiden #kamalaharris #kamaladay #vote http,1
"well, if #trump is taking the lead /micromanaging #rnc2020 , it should be pretty childish. http",2
#backtoschool2020 today in florida! #trumpcountry #trump2020 #godblessamerica http,0
@user @user is right. so why are you still a @user in disguise? #maga #trump2020landside #keepamericagreat,0
y’all nothing has really happened yet but biden has that fresh cut ok king,1
"@user what is with the #gopcowards wanting to withhold money from states? stop creating bullshit legislation, that you know has no merit. #votebluetosaveamerica",1
the u.s. government is now deciding what you can put on your iphone. it won’t stop with #tiktok #governmentoverreach #votetrumpout #votebluenomatterwho #votebiden #voteblueasifyourlifedependedonit #putinpuppet #bluewave2020 http,1
@user @user my dream ticket was and will always be warren/castro. here is hoping for warren as senate majority leader and castro on the ticket in 2024. #progressives #voteblue,2
to all the pundits on my tv talking about how the convention was light on policy specifics: that's what the debates are for. i cannot wait to see joe biden and kamala harris go toe to toe with trump and pence on policy. bring it! #demconvention,1
"@user @user @user @user @user can't refute any of what i wrote, eh? #maga murderous authoritarians gaslighting america!",2
"i miss having a president that speaks eloquently. that has empathy and hope for a better tomorrow. fortunately, we will soon have that again with #bidenharris2020. #demconvention",1
his tactic is clear. don't let biden get a coherent message across. #debates2020,2
"#americawakeup antifa is using the black community for their own gains as a shield, they don't care about you, your family, or your future. watch this video, it's extremely well put. #maga http",0
"@user @user @user @user @user good paying energy jobs will be eliminated under biden. he wants to end fracking, and cars. there isn't any technology to replace cheap and plentiful oil.",0
@user @user @user @user this guy is excused. he earned the right to do whatever the f*** he wants. #veteransfortrump #trump2020 http,0
@user really? anyone with a functional brain can see biden would be worse than obama,0
@user @user and #joebiden would reach down to the bully he just decked to offer a hand up and offer to shake as a gesture of peace. reset. new start.,1
"@user @user @user @user @user or these, so many great, strong, honorable, first nation (native) leaders. lets build their monuments and name forts and bases for them instead of racist trash. make america proud again! #votebluetosaveamerica #biden2020 http",1
"bernie's answer on whether he'd pick a woman as vp... was a word salad that basically meant ""no."" #demdebate",2
"@user @user trump is good at personal attacks and name-calling already, no prep is needed. trump is a master of lies and good at creating fear. he’ll be rude and disrespectful because he doesn’t have anything valid/worthwhile to say. i just hope biden doesn’t lose his cool.",1
biden vs trump. off,2
"🔹dnc: america's promise🔹 🔴 live now: @user is joined on stage by @user, @user, &amp; @user. #demconvention #bidenharris http",2
@user and people who think they are charles bronson playing vigilante. wonder if the #kenoshashooter had any ties to #qanon?,2
@user but 'how' was #joebiden the most #corrupt #vp in #history? since 2016 we have seen this same type of 'simple' statement 'repeated' against #trump to the point that they become #fact...as an #independent #voter i need details🙄 http,2
@user @user go to his website or listen to the speech he just made to the auto workers union. his plans will help us all #votebluetosaveamerica,1
@user @user that’s why the government lets poor people live for free in the utopian democrat run cities of light! 👍#trump2020,0
st vincent and the grenadines!!! woooohooo!!!! #demconvention #democraticconvention #flapol #floridaprimary,2
"@user asks @user why he said a woman couldn't be elected. he denies and says why he wouldn't have. instead of asking @user to rebut, they asked ""how did you feel when he said that?"" they're effectively bussing bernie when no one knows. #fuckcnn #democraticdebate",2
trump criticized obama and biden on a problem he had not fixed himself. the fires of cali,2
@user even the 200k dead i think biden will mismanage our medical system. the number wouldn’t be as high but i think one of the biggest pieces for covid deaths is affordable access to healthcare and biden’s got no effective plan for that really,0
"@user @user @user @user @user @user yes he is! that will change nov 3, though. #votebluetosaveamerica",1
@user @user president trump is the patriotic vote of iran and a way to overthrow the terrorist mullahs' regime you have my vote presindet trump. #trump2020 #iranianssupporttrump,0
"@user you need to do your job for safety of america, denounce violence! violence on video are #trump2020 supporters! can you be a leader &amp; stop calling &amp; inspiring your “militia”? #blm #congress pass #policeaccountability #blacklivesmatter stop the violence trump http",2
"@user show your taxes, criminal drumpf too scared and cowardly......yes we know #votebluetosaveamerica",1
1984 us election walter mondale was the #democratic nominee from minnesota. he took a female running mate geraldine page?? the only state he won was minesotta. regan won d other 49,2
the biden for president campaign is celebrating it’s one year anniversary by encouraging community service #2020election http,1
@user @user @user yeah the morons who have been in office for the last 30-40 years have done such a great job managing social security— hmmm do you know any people who have been in office that long? #trump #trump2020 #trumplandslide2020,0
"@user @user republicans offered a 1 week extention, a political plan with the sole intent to have dems reject and appear uncooperative. fat ass @user ‘s cheap tactics will backfire and republicans @user in dc will be leaving washington with him. #biden2020 #executiveorder",1
@user according to #dementiajoe one third of americans already died from the #coronavirus 😂😂😂 fools like you creeoy joe should stay indoors because you’re making a fool of yourself. vote #trump2020 #kag2020 @user http,0
@user expose this. if you #goggle http,0
#maga i am keeping track of @user following count she was at 45 now 47 after i tweeted. every follow you give her i will donate into trumps campaign 1 follow = 1 dollar. i owe 2$ so far into trumps campaign.,0
"@user @user it means that biden will be topped up and plugged in, is what it means.",0
@user #demdebate hasn’t like every question been for pete? can you maybe be as unbiased as you preach?,2
@user from your lips to god’s ears. #votebluetoendthisnightmare #voteblue2020,1
"the nation watched last night as joe biden managed for the most part to not fall asleep, completely lose his train of thought or declare that millions of americans have died from coronavirus. http",0
enjoying all the republicans crapping on trump right now #dnc2020 #dncconvention,2
"joe biden could drop his pants on 5th avenue , deficate and i'm still voting biden 2020",1
@user @user @user the fringe-right #maga crowd is in full frantic mode with their disinformation campaign of just flat out lies and deliberately misleading narratives. that should tell the american people one thing: they know that the truth won't help trump beat biden. all they have left is lies.,1
@user @user #maga embraces this lack of logic. they love violence as much as they love trump. maybe more! trump’s determined to kill as many of us as it takes to win. do any of us even have guns? seems we may need them.,2
i support trump because.... 1. i stand by our constitution. 2. i stand by african americans. 3. i stand by our military and police. 4. i stand by freedom. and last but not least.... 5. i abhore child abuse! #trump2020 #draintheswamp #wwg1wga,0
"elizabeth warren has announced 6 ""first things i'll do when i'm elected president"" tonight #demdebate http",2
bloomberg is speaking the truth - i would never re-hire someone with donald’s record over the past four years. america shouldn’t either. #demconvention #dncconvention2020 #bloomberg #votebidenharris2020,1
biden next to bernie🤢🤢🤢biden next to trump😏😏😏,2
@user good try sleepy joe.. it’s the radical leftist which is your party! #trumppence2020 #democratsareevil #democratsaredestroyingamerica #redwave2020 #trumplovesamerica #democratshateamerica #trump2020 ♥️🤍💙,0
"@user their plan doesn’t even include biden. he is their trojan horse, and they’re not even trying to hide it anymore!",0
"@user you put your re-election in jepardy with your support of #redflaglaws, #statue removal, &amp; being a cuckservative for israel's #endlesswars. #obama just saw blood in the water. #maga ##kag",2
pennsylvania - vp pence and his personal attachment to police. 67 violent days in portland. operation legend. http #vppence #trump2024 #kag2020 #operationlegend #lawenforcement #joebiden,2
a powerful uplifting video of black americans perfectly describing their support for president trump and defining blm. outstanding young men. #trump2020 http,0
y'all saw this dude speaking at #rnc2020? i was almost inspired by his story! http,2
"without trump as a counterweight, wondering if this and other debates would be more civil? feels like trump’s anger has leeched across the aisle. and that is something the democratic party must own. not trump #demdebate http",2
"@user trump is not fit to lead, and last night put the nail into the coffin of his failed presidency",1
"@user a career politician like @user talking about ""too many lies."" lol that's rich. #walkaway #trump2020",0
a person’s policies and ability to implement them are more important than any gender or marginalized identity. i want women and lgbtq+ people and black and brown people leading but only if they have good politics and values. #demdebate,2
".@user flatly rejected the accusation that he told @user in 2018 a woman could not be elected president. ""how could anybody in a million years not believe that a woman could become president of the united states?"" http #demdebate",2
after last night’s #masen debate and tonight’s #demdebate i couldn’t be prouder of @user and @user http,2
@user @user @user @user i would absolutely get in. #trump2020,2
interesting that the fake media obly now starts to call for an end to the riots because they know it's hurting democrats &amp; all of his sudden the governor of wisconsin requests help from pres trump it's just politics to them #maga #keepamericagreat #trump2020 #rnc2020,0
and your wages will be even lower. #demdebate,2
when your country’s medical system is so amazing that you will lock someone up in a callous dingy ward for contemplating suicide then let them out in time to give them a bankrupting amount of debt while they’re still vulnerable. #maga #healthcareforall http,2
"@user @user so hogan, does this mean trump will stop fighting to eliminate pre-existing condition protection in court? i didn't think so. trump/gop need to go for the sake of america. #voteblue",1
@user you are delusional ! #trump2020,0
democrats supporting bloomberg practically have the receipts tattooed on their foreheads. #paidinfull #bloomberg #demdebate #democraticdebate #democrats,2
@user glad he has nothing more pressing to attend to ... we need a chief executive and team who will work hard on behalf of the american people - not one who tweets and tvs all day. so #wewillvote and we will #voteblue from the top to the bottom of the ballot! #bidenharris2020,1
@user ur the last person who believes in prayer. the art of the deception. 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 god bless america drain the swamp dump @user so help us god! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 #dsdt2020 #maga2020 #kag2020 #bebest #unhinged #2020election #americafirst #berniesurge #coronavirus,0
"listen to joe: free healthcare, universal childcare, bailing out working class citizens. it's amazing that it takes a global pandemic to get moderates to embrace progressive policies. #demdebate",1
on another note biden is also extremely painful to listen to and did he really just call amy barrett a fine person? i can’t do this,0
putting the words “black and brown communities” in your answer doesn’t make your policies intersectional #demdebate,2
time to petition to sue twitter for its blatant attack on conservatives #1a and its liberal brainwashing tactics on the american people. #maga @user @user @user #2a #vets @user #draintheswamp #demoncrats,0
@user no thanks! i will vote for donald j. trump!!! #youaintblack #trump2020,0
"@user meanwhile, good, kind and brave police officers are endorsing #trump2020 #bluelivesmatter #alllivesmatter #kungflu #saveourchildren #savethechildren http",2
trump better win 2020. the world depends on it. #trump2020 #bidenharris2020 #biden,0
@user thank you for saying it at loud 🇺🇸✊🏻 #votebluetosaveamerica #votebidenharris2020 #votegopout,1
@user don't worry @user...they won't have cable where you're going! #votebluetosaveamerica,2
living for @user tweets rn. savage af and i’m here for it 🙌😂 #dumptrump #bidenharris2020 http,1
"@user i remember writing to senator toomey about my concern about trump's racist comments against the squad leading to violence against minorities. of course, he was silent. and then there was el paso. this man, who activates his violent base, is a danger to our country. #voteblue",1
"democrats' view on abortion - up to the point of birth, no restrictions - is so extreme that its pushing pro-life voters out of the democrat party. from a leading pro-life democrat: democrats are ""building an army of future former democrats."" #demdebate http",2
"@user stop burning building, beating up and sometime murderer people, how about getting a job. #trump2020",0
biden won't fall for the flattery of dictators..... #colinpowell #dnc2020 #demconvention #bidenharris2020,1
"and i'll take trump any day, honestly. i don't think this moved the needle. i'll say this. anyone thinking about joe biden wasn't inspired to vote for him after this. though some may have decided against trump. i think a lot more look at biden and don't see him as a replacement",0
"@user #rnc2020 you guys nailed it! great convention, every. single. day. tonight was the icing on the cake! best president ever! #trump2020landslidevictory",0
someone needs to follow up on this biden/obama “brother” revelation. #demconvention #dncconvention2020,2
@user i predict i'm voting for biden anyway.,1
@user @user what about the innocent children stolen from their parents and stuffed in dirty border cages like wild animals? what about the 100s who have gone missing ? your hypocrisy is showing. #savethechildren 🙏 #votebluetosaveamerica,1
@user @user @user we can only hope so! #biden2020,1
anybody else getting impatient? it's time to make a decision @user #joebiden #kamalaharris #democraticparty #democrat,1
i want out of this shithole usa #shitholeusa #trumpsucks #maga #kag #trump2020,2
@user @user @user @user he really gets under her skin lol. cry more nancy. 😂 #trump2020,2
@user so don’t care what he thinks. #votebluetosaveamerica,1
"@user love you right back, brother !!! ♥️🇺🇸 #trump2020 #takingbackourcountry #patriotfam #onenationundergod",0
@user @user the children and future of our nation will plunge into a third world country if a democrat gets elected. #maga🇺🇸#i❤️usa,0
@user you and your da are aiding and a bedding. @user please defund this city as i do not want to support #liberal policies with my money. ted you belong in jail.,2
@user trump supporters are everywhere im following you and all other #maga #americans working people who know how trump is the best potus ever~ very active trump twitter supporters~ 🇺🇸🇺🇸🇺🇸fight against tyranny~,0
@user @user to be fair he didn’t let thousands die. he is letting hundreds of thousand die. #maga,2
"@user @user i appreciate your apology, something trump has never &amp; will never do. but this election is about defeating trump. we need to unify not only the party but the country. @user has not shown the ability to do that. @user better progressive messenger #votebluetosaveamerica",1
out of my mind. back in five minutes @user #trump2020 #covid19 #warroompandemic #blm #backtheblue #walkaway #screenwriting,2
@user yes!!!!!!!!! that’s exactly what’s happening. #formerliberals are now #maga2020 like myself. never would i have thought i’d say that until recently. #votebluetosaveamerica @user,0
"soooo @user @user @user @user @user @user #maga #coronavirus has he made 🇺🇸 great 4u? has a friend, family, or a friends family member died, got/is infected lost their job or buis. &amp; now un-emp benefits? #ridenwithbiden #votebluetoendthisnightmare http",1
"#rnc2020 is like a motivational forum with delusions, hatreds, fears, smears and lies here and there. a circus with so many clowns.",2
the cabal hates god! we muslims and christians needs to stand together! we believe in god we love peace and freedom! just like the fake news lies about our amazing president @user they been lying to you guys about my religion believe me we stand for peace &amp; justice #trump2020,0
"leftists hurl racist abuse at black, naturalized rnc speakers http",0
they (democrats) are trying to crucify trump like the people crucified christ for telling the truth 🙄🤔does this means trump is god no it just means the world is crooked and wicked when a good hearted man tries to change something bad into something good #trump2020 #godbless,0
"@user but #georgesoros funded #blmdomesticterrorists who actually donate to @user and his campaign is ok? burning buildings, shooting innocents, bashing people and demolishing entire cities is ok? #thesilentmajority sees your bs and is voting #trump2020 http",0
@user @user they were either robbed or brainwashed. #trump2020 #maga,0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user following all patriots #kag...thank you very much marilyn @user 🙏🏻🇺🇸⚘⚘ http,0
"@user @user ""from the very first day of this administration"", you shelved your christian beliefs &amp; supported the single most corrupt #president this nation has ever seen!!! neither #wethepeople, or the history books will ever forget... a #democratic landscape is coming in nov., thank god!!",1
"i can’t believe pete is still in this race. can some one tell me why he belongs in the same room, much less on the same stage as @user ? #demdebate",2
"bernie isn’t even a democrat, why is he allowed to run on the d ticket? #demdebate #democrats2020",2
@user canceling the #2020election so trump is president for 5 more years!,0
we can’t have 4 more years of trump and gop rule. they will break the back of this country. make sure your senators and congress work for you not against you vote blue down the ballot #votebluetosaveamerica #bidenharris #dems4usa http,1
"@user i've never been more motivated to vote in my life. i'm also so appalled, though not surprised, at trump's behavior. the man has no dignity, and you're totally right - look at what he says. it tells you all you need to know about him and where his priorities lie.",1
@user for the next 4 years #trump2020,0
"@user up, down and sideways, if need be! #vote2020 #voteblue",1
"@user @user yes !!!!! i of course i would vote for #joebiden aa our democratic nominee, but too bad we can’t vote 🗳 for #barackobama as our vice president though. just #votebluetosaveamerica http",1
"everything, the democrats do , is either fake and / or political nonsense i am not surprised at all #trump2020 #maga #kag @user @user @user @user @user @user @user @user @user http",0
@user we the people have to stand for something. our freedom is under attack the foundation of our country is being attacked. we must show our support for those who are brave enough to fight this evil head on!!! #maga #minoritiesfortrump #americafirst http,0
i avoid all the #democrat speech’s and then i get nothing but @user sound bites from everyone i despise. sickening.,2
black people make up less than 2% of #maine’s population but almost a 25% of its #coronavirus cases. i'm sure @user is concerned and disappointed. #doyourjob #dumpcollins #trumpfailsamerica #trumpliesamericansdie #votebluetosaveamerica http,1
"@user has accomplished much since taking office, but what might he have accomplished if not for the hysterical obstruction of the dems? this obstruction is driven by fear - fear that trump and his supporters might be proven right, and they themselves wrong. #trump2020",0
"@user the debate clearly showed me biden has control. trump is off his rails. cannot have a leader like that. his time is up. god willing, electoral college favors biden by a wide margin!",1
supporting your local vote 🗳🌵🤠 #arizona #vote #vote2020 #voteblue2020 #voteforchange #voteforchange #arizonavote #students #votebymail #sheastanfield #democrats #democracy http,1
"@user agreed. only difference is trump has been doing things for less than 4 years, but biden's 47 year record is lacking. given he's not president, not for lack of trying, it is on him to answer what he would do differently. he provided 0 plans tonight.",0
"joe biden's entire platform can be summarized as: ""here's the deal folks"" #demdebate #democraticdebate",2
"@user #america #americafirst #djt #draintheswamp #4moreyears #fourmoreyears #gop #kag #kag2020 #maga #maga2020 #potus45 #potus @user #trump #trumptrain #trump2020 🇺🇸#usa #votered this is #presidenttrump working while dems &amp; #fakenews sleep, only to later wake up &amp; falsely accuse him. http",0
"i know, i know, don’t get hopes up, etc. however, the nyt tax story, parscale’s alleged domestic abuse and commitment, the failure of trump to concoct anything that sticks, biden’s performance and consistency, the current lead in necessary states. i’m just trying to stay level.",1
@user @user the gall of him to question an actual scientist is appalling. that’s who the @user is. #trump and the #republican administration must go. #votebidentosaveamerica #voteblue,1
"richard grenell rnc speech savages russiagate, globalism and democrats: &amp;#8216;the boss is the american people&amp;#8217; http",0
